username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
aaronrecuenco,Aaron Recuenco,827121498921971713,840133530529161218,/aaronrecuenco/status/840133530529161218,2017-03-10 09:33:37,1489138417,0,0,0,0,,,,Two kids die of electrocution in floodwaters of Cagayan de Oro City @manila_bulletin,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Two kids die of electrocution in <strong>floodwaters</strong> of Cagayan de Oro City <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""904715431620907008"" dir=""ltr"" href=""/manila_bulletin""><s>@</s><b><strong>manila</strong>_bulletin</b></a></p>"
LittleMaviLearn,Little Mavi Learn,813248633957060609,834248603971391488,/LittleMaviLearn/status/834248603971391488,2017-02-22 03:49:01,1487735341,0,0,0,0,,,,Hundreds rescued from California floodwaters in San Jose » Manila Bulletin News http://bit.ly/2kXJG16 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hundreds rescued from California <strong>floodwaters</strong> in San Jose » <strong>Manila</strong> Bulletin News <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2kXJG16"" dir=""ltr"" href=""https://t.co/IPRqLpdC6o"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2kXJG16""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2kXJG16</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
Naskoivanov72,Nasko Ivanov,828128510355058688,830571439396888576,/Naskoivanov72/status/830571439396888576,2017-02-12 00:17:17,1486858637,0,0,1,0,,,,"Filipino boys play basketball in floodwaters from a swollen creek at a coastal village in Malabon, north of Manila. pic.twitter.com/K7Iup8T8c4","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Filipino boys play basketball in <strong>floodwaters</strong> from a swollen creek at a coastal village in Malabon, north of <strong>Manila</strong>. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/K7Iup8T8c4"">pic.twitter.com/K7Iup8T8c4</a></p>"
foreca,Foreca,173914398,812637994729566208,/foreca/status/812637994729566208,2016-12-24 12:36:10,1482582970,0,1,0,0,,,,Typhoon Nock-ten crosses through the northern Philippines during Christmas. #nockten #typhoonnina #philippines #manila #flooding #heavyrainpic.twitter.com/QzvECeu4Ua,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Typhoon Nock-ten crosses through the northern Philippines during Christmas. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nockten?src=hash""><s>#</s><b>nockten</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoonnina?src=hash""><s>#</s><b>typhoonnina</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/heavyrain?src=hash""><s>#</s><b>heavyrain</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/QzvECeu4Ua"">pic.twitter.com/QzvECeu4Ua</a></p>"
johnnyhosg,Johnny L,2571274424,812623093336150017,/johnnyhosg/status/812623093336150017,2016-12-24 11:36:57,1482579417,0,0,0,0,,,,"https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3 …
#philippines #manila #typhoon #flood #landslide #evacuation #aviation #airport #flight #singapore #hongkong","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link"" data-expanded-url=""https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3"" dir=""ltr"" href=""https://t.co/sk2BiNNLw6"" rel=""nofollow noopener"" target=""_blank"" title=""https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">plus.google.com/11516054577094</span><span class=""invisible"">9042069/posts/9PY9zDWRYw3</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/landslide?src=hash""><s>#</s><b>landslide</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/evacuation?src=hash""><s>#</s><b>evacuation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/aviation?src=hash""><s>#</s><b>aviation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airport?src=hash""><s>#</s><b>airport</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flight?src=hash""><s>#</s><b>flight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singapore?src=hash""><s>#</s><b>singapore</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hongkong?src=hash""><s>#</s><b>hongkong</b></a></p>"
johnnyhosg,Johnny L,2571274424,812622974209527808,/johnnyhosg/status/812622974209527808,2016-12-24 11:36:29,1482579389,0,0,0,0,,,,https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA … #philippines #manila #typhoon #flood #landslide #evacuation #aviation #airport #flight #singapore #hongkong,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link"" data-expanded-url=""https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA"" dir=""ltr"" href=""https://t.co/MzhAQskYBs"" rel=""nofollow noopener"" target=""_blank"" title=""https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">plus.google.com/11516054577094</span><span class=""invisible"">9042069/posts/JfdeFAnnniA</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/landslide?src=hash""><s>#</s><b>landslide</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/evacuation?src=hash""><s>#</s><b>evacuation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/aviation?src=hash""><s>#</s><b>aviation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airport?src=hash""><s>#</s><b>airport</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flight?src=hash""><s>#</s><b>flight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singapore?src=hash""><s>#</s><b>singapore</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hongkong?src=hash""><s>#</s><b>hongkong</b></a></p>"
foreca,Foreca,173914398,812415533102534657,/foreca/status/812415533102534657,2016-12-23 21:52:11,1482529931,0,1,0,0,,,,Powerful typhoon Nock-Ten will hit the Philippines on weekend. #typhoon #nockten #philippines #manila #storm #flood pic.twitter.com/UNJwEcbXFA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Powerful typhoon Nock-Ten will hit the Philippines on weekend. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nockten?src=hash""><s>#</s><b>nockten</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/storm?src=hash""><s>#</s><b>storm</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/UNJwEcbXFA"">pic.twitter.com/UNJwEcbXFA</a></p>"
RichardOHanlon4,Richard OHanlon,4219164341,811952852696526850,/RichardOHanlon4/status/811952852696526850,2016-12-22 15:13:40,1482419620,0,2,1,0,,,,"Forecast Intensity of Typhoon Nina when over Metro Manila, Areas outlined indicate areas of #flooding do to 1-2 Meter Storm #Surgepic.twitter.com/4UlOUcAOuJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Forecast Intensity of Typhoon Nina when over Metro <strong>Manila</strong>, Areas outlined indicate areas of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a> do to 1-2 Meter Storm <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Surge?src=hash""><s>#</s><b>Surge</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4UlOUcAOuJ"">pic.twitter.com/4UlOUcAOuJ</a></p>"
juergen_p,⚔News Now🕵️‍,66132864,806996143175516161,/juergen_p/status/806996143175516161,2016-12-08 22:57:28,1481237848,0,1,0,0,,,,"Boys play in floodwaters along a busy street in #Manila, Philippines after a sudden downpour caused floods in low-lying areas.. pic.twitter.com/RQYlriREZ8","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Boys play in <strong>floodwaters</strong> along a busy street in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Manila?src=hash""><s>#</s><b><strong>Manila</strong></b></a>, Philippines after a sudden downpour caused floods in low-lying areas.. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RQYlriREZ8"">pic.twitter.com/RQYlriREZ8</a></p>"
LiveTravelling,Kiss From The World,47775007,795643482069233664,/LiveTravelling/status/795643482069233664,2016-11-07 15:06:03,1478531163,0,0,1,0,,,,Children pushing a pedicab through floodwaters in Manila >http://kftw.me/0YL < #PHILIPPINES #Manila #people #travelPhoto @rjamesbarrete,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Children pushing a pedicab through <strong>floodwaters</strong> in <strong>Manila</strong> &gt;<a class=""twitter-timeline-link"" data-expanded-url=""http://kftw.me/0YL"" dir=""ltr"" href=""https://t.co/YSJ7rlIaaP"" rel=""nofollow noopener"" target=""_blank"" title=""http://kftw.me/0YL""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">kftw.me/0YL</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>&lt; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PHILIPPINES?src=hash""><s>#</s><b>PHILIPPINES</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Manila?src=hash""><s>#</s><b><strong>Manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/people?src=hash""><s>#</s><b>people</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/travelPhoto?src=hash""><s>#</s><b>travelPhoto</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""69234579"" dir=""ltr"" href=""/rjamesbarrete""><s>@</s><b>rjamesbarrete</b></a></p>"
pwatchdog,B,249566314,793261302961479680,/pwatchdog/status/793261302961479680,2016-11-01 01:20:07,1477963207,0,0,0,0,,,,@RRD_Davao The #RECLAMATION_LAND_IN_MANILA should NOT be developed into an AIRPORT.  #Traffic #Flooding,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""630725815"" dir=""ltr"" href=""/RRD_Davao""><s>@</s><b>RRD_Davao</b></a> The <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RECLAMATION_LAND_IN_MANILA?src=hash""><s>#</s><b>RECLAMATION_LAND_IN_<strong>MANILA</strong></b></a> should NOT be developed into an AIRPORT.  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Traffic?src=hash""><s>#</s><b>Traffic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flooding?src=hash""><s>#</s><b><strong>Flooding</strong></b></a></p>"
aaronrecuenco,Aaron Recuenco,827121498921971713,840133530529161218,/aaronrecuenco/status/840133530529161218,2017-03-10 09:33:37,1489138417,0,0,0,0,,,,Two kids die of electrocution in floodwaters of Cagayan de Oro City @manila_bulletin,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Two kids die of electrocution in <strong>floodwaters</strong> of Cagayan de Oro City <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""904715431620907008"" dir=""ltr"" href=""/manila_bulletin""><s>@</s><b><strong>manila</strong>_bulletin</b></a></p>"
LittleMaviLearn,Little Mavi Learn,813248633957060609,834248603971391488,/LittleMaviLearn/status/834248603971391488,2017-02-22 03:49:01,1487735341,0,0,0,0,,,,Hundreds rescued from California floodwaters in San Jose » Manila Bulletin News http://bit.ly/2kXJG16 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hundreds rescued from California <strong>floodwaters</strong> in San Jose » <strong>Manila</strong> Bulletin News <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2kXJG16"" dir=""ltr"" href=""https://t.co/IPRqLpdC6o"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2kXJG16""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2kXJG16</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
Naskoivanov72,Nasko Ivanov,828128510355058688,830571439396888576,/Naskoivanov72/status/830571439396888576,2017-02-12 00:17:17,1486858637,0,0,1,0,,,,"Filipino boys play basketball in floodwaters from a swollen creek at a coastal village in Malabon, north of Manila. pic.twitter.com/K7Iup8T8c4","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Filipino boys play basketball in <strong>floodwaters</strong> from a swollen creek at a coastal village in Malabon, north of <strong>Manila</strong>. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/K7Iup8T8c4"">pic.twitter.com/K7Iup8T8c4</a></p>"
foreca,Foreca,173914398,812637994729566208,/foreca/status/812637994729566208,2016-12-24 12:36:10,1482582970,0,1,0,0,,,,Typhoon Nock-ten crosses through the northern Philippines during Christmas. #nockten #typhoonnina #philippines #manila #flooding #heavyrainpic.twitter.com/QzvECeu4Ua,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Typhoon Nock-ten crosses through the northern Philippines during Christmas. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nockten?src=hash""><s>#</s><b>nockten</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoonnina?src=hash""><s>#</s><b>typhoonnina</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/heavyrain?src=hash""><s>#</s><b>heavyrain</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/QzvECeu4Ua"">pic.twitter.com/QzvECeu4Ua</a></p>"
johnnyhosg,Johnny L,2571274424,812623093336150017,/johnnyhosg/status/812623093336150017,2016-12-24 11:36:57,1482579417,0,0,0,0,,,,"https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3 …
#philippines #manila #typhoon #flood #landslide #evacuation #aviation #airport #flight #singapore #hongkong","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link"" data-expanded-url=""https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3"" dir=""ltr"" href=""https://t.co/sk2BiNNLw6"" rel=""nofollow noopener"" target=""_blank"" title=""https://plus.google.com/115160545770949042069/posts/9PY9zDWRYw3""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">plus.google.com/11516054577094</span><span class=""invisible"">9042069/posts/9PY9zDWRYw3</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/landslide?src=hash""><s>#</s><b>landslide</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/evacuation?src=hash""><s>#</s><b>evacuation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/aviation?src=hash""><s>#</s><b>aviation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airport?src=hash""><s>#</s><b>airport</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flight?src=hash""><s>#</s><b>flight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singapore?src=hash""><s>#</s><b>singapore</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hongkong?src=hash""><s>#</s><b>hongkong</b></a></p>"
johnnyhosg,Johnny L,2571274424,812622974209527808,/johnnyhosg/status/812622974209527808,2016-12-24 11:36:29,1482579389,0,0,0,0,,,,https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA … #philippines #manila #typhoon #flood #landslide #evacuation #aviation #airport #flight #singapore #hongkong,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link"" data-expanded-url=""https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA"" dir=""ltr"" href=""https://t.co/MzhAQskYBs"" rel=""nofollow noopener"" target=""_blank"" title=""https://plus.google.com/115160545770949042069/posts/JfdeFAnnniA""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">plus.google.com/11516054577094</span><span class=""invisible"">9042069/posts/JfdeFAnnniA</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/landslide?src=hash""><s>#</s><b>landslide</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/evacuation?src=hash""><s>#</s><b>evacuation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/aviation?src=hash""><s>#</s><b>aviation</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airport?src=hash""><s>#</s><b>airport</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flight?src=hash""><s>#</s><b>flight</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singapore?src=hash""><s>#</s><b>singapore</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hongkong?src=hash""><s>#</s><b>hongkong</b></a></p>"
foreca,Foreca,173914398,812415533102534657,/foreca/status/812415533102534657,2016-12-23 21:52:11,1482529931,0,1,0,0,,,,Powerful typhoon Nock-Ten will hit the Philippines on weekend. #typhoon #nockten #philippines #manila #storm #flood pic.twitter.com/UNJwEcbXFA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Powerful typhoon Nock-Ten will hit the Philippines on weekend. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/typhoon?src=hash""><s>#</s><b>typhoon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nockten?src=hash""><s>#</s><b>nockten</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/philippines?src=hash""><s>#</s><b>philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/storm?src=hash""><s>#</s><b>storm</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/UNJwEcbXFA"">pic.twitter.com/UNJwEcbXFA</a></p>"
RichardOHanlon4,Richard OHanlon,4219164341,811952852696526850,/RichardOHanlon4/status/811952852696526850,2016-12-22 15:13:40,1482419620,0,2,1,0,,,,"Forecast Intensity of Typhoon Nina when over Metro Manila, Areas outlined indicate areas of #flooding do to 1-2 Meter Storm #Surgepic.twitter.com/4UlOUcAOuJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Forecast Intensity of Typhoon Nina when over Metro <strong>Manila</strong>, Areas outlined indicate areas of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a> do to 1-2 Meter Storm <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Surge?src=hash""><s>#</s><b>Surge</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4UlOUcAOuJ"">pic.twitter.com/4UlOUcAOuJ</a></p>"
